DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-03,71.38,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-04,71.47,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-05,71.53,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-06,71.52,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-07,71.05,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-08,71.07,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-09,71.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-10,71.72,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-11,71.82,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-12,71.85,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-01,70.85,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-02,71.04,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-03,72.04,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-04,72.14,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-05,72.26,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-06,72.23,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-07,71.86,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-08,71.74,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-09,72.12,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-10,72.19,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-11,72.17,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2015-12,72.62,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-01,71.83,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-02,71.77,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-03,72.52,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-04,72.61,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-05,72.69,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-06,72.69,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-07,72.29,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-08,72.17,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-09,72.90,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-10,73.18,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-11,73.23,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2016-12,73.77,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-01,73.31,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-02,73.47,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-03,74.05,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-04,74.29,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-05,74.25,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-06,74.14,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-07,73.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-08,73.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-09,74.74,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-10,74.90,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-11,75.01,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2017-12,75.49,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-01,74.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-02,74.90,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-03,75.57,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-04,75.74,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-05,75.82,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-06,75.86,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-07,75.41,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-08,75.41,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-09,76.33,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-10,76.70,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-11,76.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2018-12,76.78,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-01,75.98,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-02,75.97,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-03,76.83,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-04,77.06,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-05,77.11,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-06,77.05,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-07,76.44,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-08,76.50,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-09,77.27,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-10,77.49,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-11,77.64,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2019-12,78.19,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2020-01,77.63,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2020-02,77.64,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2020-03,78.05,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2020-04,78.23,,
